﻿Daily Discharge (m3/s) (PARAM = 1),,,,
 ID,PARAM,Date,Value,SYM
08NK028,1,1985-07-18,0.319,
08NK028,1,1985-07-19,0.293,
08NK028,1,1985-07-20,0.27,
08NK028,1,1985-07-21,0.258,
08NK028,1,1985-07-22,0.246,
08NK028,1,1985-07-23,0.249,
08NK028,1,1985-07-24,0.248,
08NK028,1,1985-07-25,0.228,
08NK028,1,1985-07-26,0.21,
08NK028,1,1985-07-27,0.199,
08NK028,1,1985-07-28,0.192,
08NK028,1,1985-07-29,0.183,
08NK028,1,1985-07-30,0.178,
08NK028,1,1985-07-31,0.174,
08NK028,1,1985-08-01,0.172,
08NK028,1,1985-08-02,0.18,
08NK028,1,1985-08-03,0.196,
08NK028,1,1985-08-04,0.177,
08NK028,1,1985-08-05,0.176,
08NK028,1,1985-08-06,0.172,
08NK028,1,1985-08-07,0.159,
08NK028,1,1985-08-08,0.176,
08NK028,1,1985-08-09,0.194,
08NK028,1,1985-08-10,0.19,
08NK028,1,1985-08-11,0.171,
08NK028,1,1985-08-12,0.244,
08NK028,1,1985-08-13,0.198,
08NK028,1,1985-08-14,0.162,
08NK028,1,1985-08-15,0.266,
08NK028,1,1985-08-16,0.239,
08NK028,1,1985-08-17,0.174,
08NK028,1,1985-08-18,0.153,
08NK028,1,1985-08-19,0.141,
08NK028,1,1985-08-20,0.132,
08NK028,1,1985-08-21,0.144,
08NK028,1,1985-08-22,0.164,
08NK028,1,1985-08-23,0.143,
08NK028,1,1985-08-24,0.129,
08NK028,1,1985-08-25,0.119,
08NK028,1,1985-08-26,0.115,
08NK028,1,1985-08-27,0.112,
08NK028,1,1985-08-28,0.112,
08NK028,1,1985-08-29,0.105,
08NK028,1,1985-08-30,0.103,
08NK028,1,1985-08-31,0.096,
08NK028,1,1985-09-01,0.099,
08NK028,1,1985-09-02,0.115,
08NK028,1,1985-09-03,0.107,
08NK028,1,1985-09-04,0.116,
08NK028,1,1985-09-05,0.206,
08NK028,1,1985-09-06,0.247,
08NK028,1,1985-09-07,0.172,
08NK028,1,1985-09-08,0.159,
08NK028,1,1985-09-09,0.153,
08NK028,1,1985-09-10,0.148,
08NK028,1,1985-09-11,0.137,
08NK028,1,1985-09-12,0.575,
08NK028,1,1985-09-13,0.402,
08NK028,1,1985-09-14,0.303,
08NK028,1,1985-09-15,0.281,
08NK028,1,1985-09-16,0.322,
08NK028,1,1985-09-17,0.37,
08NK028,1,1985-09-18,0.375,
08NK028,1,1985-09-19,0.345,
08NK028,1,1985-09-20,0.312,
08NK028,1,1985-09-21,0.31,
08NK028,1,1985-09-22,0.315,
08NK028,1,1985-09-23,0.298,
08NK028,1,1985-09-24,0.275,
08NK028,1,1985-09-25,0.266,
08NK028,1,1985-09-26,0.263,
08NK028,1,1985-09-27,0.263,
08NK028,1,1985-09-28,0.245,
08NK028,1,1985-09-29,0.235,E
08NK028,1,1985-09-30,0.235,E
08NK028,1,1985-10-01,,
08NK028,1,1985-10-02,,
08NK028,1,1985-10-03,,
08NK028,1,1985-10-04,,
08NK028,1,1985-10-05,,
08NK028,1,1985-10-06,,
08NK028,1,1985-10-07,,
08NK028,1,1985-10-08,,
08NK028,1,1985-10-09,,
08NK028,1,1985-10-10,,
08NK028,1,1985-10-11,,
08NK028,1,1985-10-12,,
08NK028,1,1985-10-13,,
08NK028,1,1985-10-14,,
08NK028,1,1985-10-15,,
08NK028,1,1985-10-16,,
08NK028,1,1985-10-17,,
08NK028,1,1985-10-18,,
08NK028,1,1985-10-19,,
08NK028,1,1985-10-20,,
08NK028,1,1985-10-21,,
08NK028,1,1985-10-22,,
08NK028,1,1985-10-23,,
08NK028,1,1985-10-24,,
08NK028,1,1985-10-25,,
08NK028,1,1985-10-26,,
08NK028,1,1985-10-27,,
08NK028,1,1985-10-28,,
08NK028,1,1985-10-29,,
08NK028,1,1985-10-30,,
08NK028,1,1985-10-31,,
08NK028,1,1985-11-01,,
08NK028,1,1985-11-02,,
08NK028,1,1985-11-03,,
08NK028,1,1985-11-04,,
08NK028,1,1985-11-05,,
08NK028,1,1985-11-06,,
08NK028,1,1985-11-07,,
08NK028,1,1985-11-08,,
08NK028,1,1985-11-09,,
08NK028,1,1985-11-10,,
08NK028,1,1985-11-11,,
08NK028,1,1985-11-12,,
08NK028,1,1985-11-13,,
08NK028,1,1985-11-14,,
08NK028,1,1985-11-15,,
08NK028,1,1985-11-16,,
08NK028,1,1985-11-17,,
08NK028,1,1985-11-18,,
08NK028,1,1985-11-19,,
